,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""","In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?
1316,294,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Visit cultural events on the street or at public squares,No - I do not trust them,Yes - I would like more opportunities to participate
1317,294dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Visit a theatre (play, movies)",,
1318,294dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Visit a fair (books, food, crafts)",,
1319,294dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Participate in a protest,,
1320,294dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Visit an outdoors bazaar,,
1321,294dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Visit an indoors bazaar/mall,,
1322,295,25 - 44 years,Female,"200,001 and above",Civil Lines,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1323,295dup,25 - 44 years,Female,"200,001 and above",Civil Lines,"Visit monuments, historic sites",,
1324,295dup,25 - 44 years,Female,"200,001 and above",Civil Lines,"Visit conferences, seminars (outside of institutional requirements)",,
1325,295dup,25 - 44 years,Female,"200,001 and above",Civil Lines,Visit cultural events on the street or at public squares,,
1326,295dup,25 - 44 years,Female,"200,001 and above",Civil Lines,Visit a park for a walks or leisure,,
1327,295dup,25 - 44 years,Female,"200,001 and above",Civil Lines,"Visit a religious building (mosque, church, temple, etc)",,
1328,295dup,25 - 44 years,Female,"200,001 and above",Civil Lines,Participate in a protest,,
1329,295dup,25 - 44 years,Female,"200,001 and above",Civil Lines,Visit an outdoors bazaar,,
1330,296,15 - 24 years,Female,"200,001 and above",Malir Cantonment,Visit a park for a walks or leisure,Yes - I trust them,No - I would like the opportunities to participate
1331,296dup,15 - 24 years,Female,"200,001 and above",Malir Cantonment,"Visit a theatre (play, movies)",,
1332,296dup,15 - 24 years,Female,"200,001 and above",Malir Cantonment,Visit an outdoors bazaar,,
1333,296dup,15 - 24 years,Female,"200,001 and above",Malir Cantonment,Visit an indoors bazaar/mall,,
1334,297,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I do not wish to participate
1335,297dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",,
1336,297dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
1337,297dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
1338,297dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Participate in a protest,,
1339,297dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
1340,297dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1341,298,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
1342,298dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
1343,298dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
1344,298dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit a community centre,,
1345,299,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
1346,299dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
1347,299dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
1348,299dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
1349,299dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
1350,300,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Visit monuments, historic sites",No - I do not trust them,No - I would like the opportunities to participate
1351,300dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Visit a park for a walks or leisure,,
1352,300dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1353,300dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Participate in a protest,,
1354,300dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Visit an outdoors bazaar,,
1355,300dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Visit an indoors bazaar/mall,,
1356,301,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1357,301dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,"Visit conferences, seminars (outside of institutional requirements)",,
1358,301dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,Visit a park for a walks or leisure,,
1359,301dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,"Visit a religious building (mosque, church, temple, etc)",,
1360,301dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,Visit an outdoors bazaar,,
1361,301dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,Visit an indoors bazaar/mall,,
1362,302,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",No - I do not trust them,Yes - I would like more opportunities to participate
1363,302dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
1364,302dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
1365,302dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Attend sporting events as a spectator,,
1366,302dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1367,302dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1368,302dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Participate in a protest,,
1369,302dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
1370,303,25 - 44 years,Female,"150,001 - 175,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
1371,303dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit a theatre (play, movies)",,
1372,303dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
1373,304,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,Indifferent,No - I do not wish to participate
1374,304dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1375,305,25 - 44 years,Male,"50,001 - 75,000 rupees",Garden,Practice some sport of physical activity on a regular basis,No - I do not trust them,No - I would like the opportunities to participate
1376,305dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Garden,"Visit a religious building (mosque, church, temple, etc)",,
1377,305dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Garden,Visit an indoors bazaar/mall,,
1378,306,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Participate in a protest,No - I do not trust them,No - I would like the opportunities to participate
1379,307,25 - 44 years,Female,"100,001 - 125,000 rupees",Korangi,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
1380,307dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Korangi,"Visit a fair (books, food, crafts)",,
1381,307dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Korangi,Participate in a protest,,
1382,307dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Korangi,Visit an outdoors bazaar,,
1383,307dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Korangi,Visit an indoors bazaar/mall,,
1384,308,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1385,308dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",,
1386,308dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
1387,308dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1388,308dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1389,308dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Participate in a protest,,
1390,308dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
1391,308dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1392,309,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,Yes - I will not participate again
1393,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,Visit cultural events on the street or at public squares,,
1394,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,Visit a park for a walks or leisure,,
1395,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,Attend sporting events as a spectator,,
1396,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,Practice some sport of physical activity on a regular basis,,
1397,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,"Visit a theatre (play, movies)",,
1398,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,"Visit a fair (books, food, crafts)",,
1399,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,"Visit a religious building (mosque, church, temple, etc)",,
1400,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,Visit a musical/dancing event (not including weddings),,
1401,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,Participate in a protest,,
1402,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,Visit an outdoors bazaar,,
1403,309dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,Visit an indoors bazaar/mall,,
1404,310,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Participate in a protest,No - I do not trust them,No - I would like the opportunities to participate
1405,310dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Visit an outdoors bazaar,,
1406,310dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Visit an indoors bazaar/mall,,
1407,311,15 - 24 years,Prefer not to answer,"200,001 and above",Outside Karachi,"Visit a fair (books, food, crafts)",No - I do not trust them,No - I would like the opportunities to participate
1408,311dup,15 - 24 years,Prefer not to answer,"200,001 and above",Outside Karachi,Participate in a protest,,
1409,311dup,15 - 24 years,Prefer not to answer,"200,001 and above",Outside Karachi,Visit an indoors bazaar/mall,,
1410,312,25 - 44 years,Male,"50,001 - 75,000 rupees",Nazimabad,"Visit museums, galleries",Indifferent,No - I would like the opportunities to participate
1411,312dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Nazimabad,"Visit monuments, historic sites",,
1412,312dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Nazimabad,Practice some sport of physical activity on a regular basis,,
1413,312dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Nazimabad,Participate in a protest,,
1414,313,25 - 44 years,Female,"200,001 and above",Civil Lines,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1415,313dup,25 - 44 years,Female,"200,001 and above",Civil Lines,Visit a park for a walks or leisure,,
1416,313dup,25 - 44 years,Female,"200,001 and above",Civil Lines,Participate in a protest,,
1417,313dup,25 - 44 years,Female,"200,001 and above",Civil Lines,Visit an indoors bazaar/mall,,
1418,314,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",No - I do not trust them,No - I would like the opportunities to participate
1419,314dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1420,314dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
1421,314dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1422,315,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
1423,315dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",,
1424,315dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",,
1425,315dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
1426,315dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1427,315dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1428,315dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
1429,316,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,Yes - I would like more opportunities to participate
1430,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,,
1431,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
1432,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
1433,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
1434,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
1435,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit a musical/dancing event (not including weddings),,
1436,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Participate in a protest,,
1437,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
1438,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
1439,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
1440,316dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Visit a community centre,,
1441,317,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit cultural events on the street or at public squares,No - I do not trust them,No - I do not wish to participate
1442,317dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
1443,317dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1444,317dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
1445,317dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1446,317dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Participate in a protest,,
1447,317dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
1448,317dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
1449,318,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,Practice some sport of physical activity on a regular basis,No - I do not trust them,Yes - I would like more opportunities to participate
1450,318dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1451,318dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
1452,318dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
1453,319,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,No - I do not trust them,No - I would like the opportunities to participate
1454,319dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
1455,319dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1456,319dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
1457,319dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1458,319dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Participate in a protest,,
1459,319dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
1460,319dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1461,320,15 - 24 years,Prefer not to answer,Prefer not to answer,,Visit an indoors bazaar/mall,No - I do not trust them,No - I would like the opportunities to participate
1462,321,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1463,321dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
1464,321dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1465,321dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
1466,321dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1467,322,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit monuments, historic sites",Indifferent,No - I would like the opportunities to participate
1468,322dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,,
1469,322dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
1470,322dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
1471,322dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
1472,322dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
1473,322dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Participate in a protest,,
1474,322dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
1475,323,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulzar-e-Hijri,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1476,323dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulzar-e-Hijri,"Visit a fair (books, food, crafts)",,
1477,323dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulzar-e-Hijri,Visit an outdoors bazaar,,
1478,324,15 - 24 years,Female,"200,001 and above",Gulzar-e-Hijri,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
1479,324dup,15 - 24 years,Female,"200,001 and above",Gulzar-e-Hijri,Participate in a protest,,
1480,324dup,15 - 24 years,Female,"200,001 and above",Gulzar-e-Hijri,Visit an indoors bazaar/mall,,
1481,325,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,No - I do not trust them,No - I would like the opportunities to participate
1482,325dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
1483,325dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1484,325dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1485,325dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Participate in a protest,,
1486,325dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
1487,326,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
1488,326dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
1489,327,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1490,327dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
1491,327dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1492,327dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Visit a theatre (play, movies)",,
1493,327dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Participate in a protest,,
1494,327dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
1495,328,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,No - I do not trust them,No - I would like the opportunities to participate
1496,328dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit a community centre,,
1497,329,25 - 44 years,Female,"200,001 and above",,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1498,329dup,25 - 44 years,Female,"200,001 and above",,"Visit monuments, historic sites",,
1499,329dup,25 - 44 years,Female,"200,001 and above",,Visit a park for a walks or leisure,,
1500,329dup,25 - 44 years,Female,"200,001 and above",,Practice some sport of physical activity on a regular basis,,
1501,329dup,25 - 44 years,Female,"200,001 and above",,"Visit a theatre (play, movies)",,
1502,329dup,25 - 44 years,Female,"200,001 and above",,"Visit a fair (books, food, crafts)",,
1503,329dup,25 - 44 years,Female,"200,001 and above",,"Visit a religious building (mosque, church, temple, etc)",,
1504,329dup,25 - 44 years,Female,"200,001 and above",,Participate in a protest,,
1505,329dup,25 - 44 years,Female,"200,001 and above",,Visit an outdoors bazaar,,
1506,329dup,25 - 44 years,Female,"200,001 and above",,Visit an indoors bazaar/mall,,
1507,329dup,25 - 44 years,Female,"200,001 and above",,"Visit a natural area (hills, lakes, mangroves, etc)",,
1508,330,25 - 44 years,Male,"200,001 and above",Outside Karachi,,No - I do not trust them,Yes - I would like more opportunities to participate
1509,331,25 - 44 years,Male,"Up to 25,000 rupees",Outside Karachi,"Visit museums, galleries",No - I do not trust them,No - I do not wish to participate
1510,332,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
1511,332dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,,
1512,332dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
1513,332dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
1514,332dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Participate in a protest,,
1515,332dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
1516,332dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
1517,332dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
1518,333,45 years and above,Male,Prefer not to answer,Gadap,"Visit museums, galleries",Yes - I trust them,No - I would like the opportunities to participate
1519,333dup,45 years and above,Male,Prefer not to answer,Gadap,Visit a park for a walks or leisure,,
1520,333dup,45 years and above,Male,Prefer not to answer,Gadap,Visit an outdoors bazaar,,
1521,334,15 - 24 years,Male,"50,001 - 75,000 rupees",,"Visit monuments, historic sites",No - I do not trust them,Yes - I would like more opportunities to participate
1522,334dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,Visit a park for a walks or leisure,,
1523,334dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,Attend sporting events as a spectator,,
1524,334dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,"Visit a theatre (play, movies)",,
1525,334dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,"Visit a religious building (mosque, church, temple, etc)",,
1526,334dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,Visit a musical/dancing event (not including weddings),,
1527,334dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,Visit an outdoors bazaar,,
1528,334dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,Visit an indoors bazaar/mall,,
1529,334dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,"Visit a natural area (hills, lakes, mangroves, etc)",,
1530,335,25 - 44 years,Male,"100,001 - 125,000 rupees",Civil Lines,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
1531,335dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Civil Lines,Visit an outdoors bazaar,,
1532,335dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Civil Lines,Visit an indoors bazaar/mall,,
1533,336,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
1534,336dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Participate in a protest,,
1535,337,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1536,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Visit cultural events on the street or at public squares,,
1537,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Visit a park for a walks or leisure,,
1538,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1539,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Visit a theatre (play, movies)",,
1540,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Visit a fair (books, food, crafts)",,
1541,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1542,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Visit a musical/dancing event (not including weddings),,
1543,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Participate in a protest,,
1544,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Visit an outdoors bazaar,,
1545,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Visit an indoors bazaar/mall,,
1546,337dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
1547,338,15 - 24 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,No - I do not trust them,No - I would like the opportunities to participate
1548,339,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",No - I do not trust them,No - I would like the opportunities to participate
1549,339dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
1550,339dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
